"filename", "language", "Properties", "JavaScript", "TypeScript", "JSON with Comments", "vue", "CSS", "Python", "Less", "XML", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"d:\workspace\cj\src\assets\icons\level_2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\level_3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\level_4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\level_5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\level_6.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\like-selected.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\like.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\mana-selected.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\mana.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\send-pink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\smile-selected.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\icons\smile.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workspace\cj\src\assets\reset.less", "Less", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 2, 1, 133
"d:\workspace\cj\src\components\RewardPopup copy.vue", "vue", 0, 0, 0, 0, 477, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68, 552
"d:\workspace\cj\src\components\RewardPopup.vue", "vue", 0, 0, 0, 0, 480, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68, 555
"d:\workspace\cj\src\components\TabBar.vue", "vue", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 91
"d:\workspace\cj\src\config\tabs.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 79
